MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
872,220,150,38,12,20,0
873,220,151,38,11,20,0
874,220,150,40,10,20,0
875,221,152,40,8,20,1
876,221,155,39,8,19,0
877,222,155,39,8,19,1
878,223,155,38,9,20,1
879,223,155,37,12,19,0
880,223,156,37,11,19,0
881,223,157,37,10,19,0
882,223,157,36,11,19,0
883,223,159,36,11,17,0
884,223,159,36,12,16,0
885,223,161,36,10,16,0
886,223,161,35,11,16,0
887,223,162,35,11,15,0
888,223,162,35,11,15,0
889,224,162,35,10,16,1
890,225,161,35,12,16,1
891,226,162,34,13,16,1
892,226,164,33,13,16,0
893,226,164,32,14,16,0
894,227,163,33,13,17,1
895,228,167,32,12,16,1
896,229,168,32,12,16,1
897,230,168,32,13,16,1
898,230,168,33,13,16,0
899,230,166,35,13,16,0
900,230,165,37,12,16,0
901,230,165,37,13,15,0
902,230,165,35,14,16,0
903,231,164,36,14,16,1
904,231,165,35,15,16,0
905,233,164,36,16,15,2
906,233,164,36,17,16,0
907,233,164,36,18,15,0
908,233,165,36,17,15,0
909,233,165,36,16,16,0
910,233,164,36,17,16,0
911,233,166,37,15,15,0
912,233,166,37,16,14,0
913,233,166,34,19,14,0
914,233,162,37,20,14,0
915,233,161,36,21,15,0
916,233,163,35,20,15,0
917,233,164,35,19,15,0
918,233,164,35,18,16,0
919,233,163,32,21,17,0
920,233,162,33,21,17,0
921,233,165,33,17,18,0
922,233,165,31,19,18,0
923,233,166,31,18,18,0
924,233,166,31,18,18,0
925,233,166,32,18,17,0
926,233,163,34,18,18,0
927,233,164,33,18,18,0
928,233,163,32,19,19,0
929,233,162,33,18,20,0
930,233,165,33,15,20,0
931,233,164,34,14,21,0
932,233,163,33,15,22,0
933,234,165,33,13,22,1
934,234,163,33,14,24,0
935,234,163,33,14,24,0
936,234,163,32,15,24,0
937,234,164,34,12,24,0
938,234,167,32,11,24,0
939,234,166,31,12,25,0
940,234,166,31,12,25,0
941,234,167,31,11,25,0
942,234,167,30,12,25,0
943,234,168,30,12,24,0
944,234,168,28,14,24,0
945,235,169,28,13,24,1
946,235,172,28,12,23,0
947,235,172,28,13,22,0
948,235,171,31,11,22,0
949,235,172,30,12,21,0
950,235,172,30,12,21,0
951,235,171,28,14,22,0
952,236,172,29,13,21,1
953,237,172,31,13,20,1
954,237,173,31,13,20,0
955,238,172,31,13,21,1
956,238,172,29,15,22,0
957,239,171,30,15,22,1
958,239,172,32,13,22,0
959,240,174,28,15,22,1
960,240,175,28,15,22,0
961,240,174,28,14,24,0
962,240,176,29,13,22,0
